,date,BAB,IV,rf,STRAT_EQ,STRAT_EQ_scaled,STRAT_RP,STRAT_RP_scaled,STRAT_MV,STRAT_MV_scaled,Fund_EQ,Fund_RP,Fund_MV
0,1970-04-30,-0.0401911204238185,-0.0479823841360434,0.0054265992379555,-0.044086752279930946,-0.030542413654351584,0.0,0.0,-0.043599397370885126,-0.031955388829072784,-0.025115814416396084,0.0054265992379555,-0.026528789591117284
1,1970-08-31,0.010131657081861,-0.0143321870576558,0.005090674105442,-0.0021002649878974003,-0.0014550212643655092,0.0,0.0,-0.0005700158555495332,-0.00041778279979130204,0.00363565284107649,0.005090674105442,0.004672891305650698
2,1970-09-30,-0.0230940948887397,0.0559037001579513,0.0048490414558046,0.0164048026346058,0.01136491671699324,0.0,0.0,0.011463375333230701,0.008401873377993255,0.01621395817279784,0.0048490414558046,0.013250914833797856
3,1970-10-30,0.0288013886152736,0.1878664052083845,0.0043948761863424,0.10833389691182904,0.07505154090870009,0.0,0.0,0.09838414812172272,0.07210887987975222,0.07944641709504249,0.0043948761863424,0.07650375606609462
4,1970-11-30,0.0355633150558539,-0.0678771313507617,0.0037076942182036,-0.0161569081474539,-0.011193180411239703,0.0,0.0,-0.00968655735300488,-0.007099586813029865,-0.007485486193036102,0.0037076942182036,-0.0033918925948262656
5,1971-04-30,0.0016369310710743,0.0436366146627314,0.0030633396706814,0.02263677286690285,0.015682300122961835,0.0,0.0,0.02000963140015348,0.014665697011338016,0.018745639793643236,0.0030633396706814,0.017729036682019417
6,1971-07-30,0.0044510016209177,-0.031062916023531,0.0042169682325731,-0.01330595720130665,-0.009218099040931273,0.0,0.0,-0.011084509854284571,-0.00812419078548749,-0.005001130808358172,0.0042169682325731,-0.003907222552914389
7,1971-09-30,-0.0069585219838662,0.030813119714466,0.0037755116794985,0.0119272988652999,0.008262992324995966,0.0,0.0,0.009564627585733409,0.007010220597945431,0.012038504004494466,0.0037755116794985,0.010785732277443932
8,1972-01-31,0.0063539144802062,0.0448464120664455,0.0026057942959712,0.02560016327332585,0.01773527728575252,0.0,0.0,0.02319240140657581,0.016998450655695812,0.02034107158172372,0.0026057942959712,0.019604244951667012
9,1972-02-29,0.0076837258976424,0.1498944296693754,0.0026225782322082,0.07878907778350891,0.05458348552937637,0.0,0.0,0.0698935908430181,0.05122724181367331,0.05720606376158457,0.0026225782322082,0.05384982004588151
10,1972-06-30,-0.0042028944987263,-0.0097539596796055,0.0030209882675253,-0.0069784270891659,-0.004834513675688959,0.0,0.0,-0.0066311998656681205,-0.00486021786741999,-0.001813525408163659,0.0030209882675253,-0.0018392295998946899
11,1972-08-31,0.0330718608868871,-0.0458316990603747,0.0035887834952282,-0.006379919086743801,-0.00441987939123665,0.015807502077762593,0.01349531871686268,-0.001444386328283375,-0.0010586368051617634,-0.0008310958960084497,0.01708410221209088,0.0025301466900664368
12,1972-11-30,0.0372590687117125,-0.0405703981910621,0.004097904474831,-0.0016556647396747982,-0.001147011170861217,0.02207526013359263,0.018846283859078383,0.0032126819322485373,0.002354677048763408,0.0029508933039697834,0.022944188333909384,0.006452581523594408
13,1973-02-28,-0.000689752433194,-0.0357318223402829,0.0046495160524205,-0.018210787386738453,-0.012616066563614999,-0.007525797061743193,-0.006424989188489696,-0.0160188548038956,-0.011740729567899353,-0.0079665505111945,-0.0017754731360691963,-0.007091213515478853
14,1973-04-30,0.0040803472527104,-0.0048541862787372,0.0049891682908994,-0.0003869195130133999,-0.0002680500423882446,0.002545561714463911,0.0021732191766376946,0.00017194859072610725,0.00012602660602215352,0.004721118248511155,0.007162387467537094,0.0051151948969215535
15,1973-08-31,0.0008918635834025,0.1614447861652889,0.0071510640853282,0.08116832487434571,0.05623177997331367,0.029104639402287746,0.02484746691419235,0.07112550539447558,0.05213015127733265,0.06338284405864186,0.03199853099952055,0.05928121536266085
16,1973-11-30,-0.0472332026828963,0.0471081738382884,0.0062062012917272,-6.251442230394838e-05,-4.3308732139000846e-05,-0.025507004089203138,-0.02177606227743972,-0.00596370512408945,-0.004370989683207708,0.006162892559588199,-0.01556986098571252,0.0018352116085194924
17,1974-01-31,0.0231383429677266,0.0147235790932669,0.006291944734231,0.01893096103049675,0.013114988352885479,0.02114179352130014,0.01804935659109726,0.019457316784088404,0.014260888014502534,0.01940693308711648,0.02434130132532826,0.020552832748733534
18,1974-02-28,0.0122978284529526,0.2054017535960537,0.0061472681271693,0.10884979102450315,0.075408941954962,0.051806419385417725,0.044228628770461804,0.09677085885758843,0.07092644872616004,0.0815562100821313,0.050375896897631105,0.07707371685332934
19,1974-09-30,-0.047695569810625,0.056644288227917,0.0051420684130875,0.0044743592086460005,0.003099745903733361,-0.02279092550830917,-0.01945726795251142,-0.00205225109520513,-0.001504160279196057,0.008241814316820861,-0.014315199539423921,0.0036379081338914427
20,1975-01-31,0.1319560512492202,-0.0715980588973685,0.0046166619965279,0.030178996175925843,0.020907400459566478,0.0636826163977562,0.05436767939574853,0.042911602656789886,0.031451282147585226,0.025524062456094378,0.058984341392276436,0.03606794414411313
21,1975-02-28,0.0311643184156326,0.1911479997914994,0.0039629401965206,0.11115615910356601,0.07700674728801658,0.08302624118558954,0.07088188767274439,0.10114894649139175,0.0741352887813523,0.08096968748453719,0.074844827869265,0.0780982289778729
22,1975-04-30,0.0100604485505929,0.10262213661438,0.004344918051865,0.05634129258248645,0.03903211225333306,0.03985533380077332,0.03402564361924254,0.05055142398945258,0.037050750855675885,0.04337703030519806,0.03837056167110754,0.041395668907540886
