date,BAB_ret
1967-02-28,0.01718245725784597
1967-06-30,-0.009110683275683214
1967-08-31,0.016276016253531818
1967-11-30,0.004028265351179707
1968-02-29,-0.021424015403786793
1968-03-29,-0.016171919160312458
1968-09-30,0.03587595609656635
1969-01-31,-0.001300310566852119
1969-02-28,-0.04815315962446484
1969-03-28,-0.0041782049669871115
1970-04-30,-0.04019112042381852
1970-08-31,0.010131657081861
1970-09-30,-0.023094094888739702
1970-10-30,0.028801388615273604
1970-11-30,0.035563315055853945
1971-04-30,0.001636931071074356
1971-07-30,0.004451001620917758
1971-09-30,-0.006958521983866204
1972-01-31,0.006353914480206252
1972-02-29,0.0076837258976424835
1972-06-30,-0.004202894498726309
1972-08-31,0.03307186088688717
1972-11-30,0.037259068711712515
1973-02-28,-0.0006897524331940103
1973-04-30,0.004080347252710462
1973-08-31,0.0008918635834025551
1973-11-30,-0.0472332026828963
1974-01-31,0.02313834296772667
1974-02-28,0.012297828452952655
1974-09-30,-0.047695569810625
1975-01-31,0.13195605124922027
1975-02-28,0.03116431841563266
1975-04-30,0.010060448550592965
1975-05-30,0.03720422924856753
1975-06-30,0.03611718254773407
1976-04-30,0.013853757170760934
1976-07-30,0.013797790666194668
1976-09-30,0.011088191273917207
1977-01-31,0.013908142818503107
1977-02-28,-0.00013586570243946834
1977-06-30,0.012287841135702533
1977-09-30,0.0010076100633205926
1977-11-30,0.011246790325731823
1977-12-30,0.007004756365773444
1978-02-28,-0.006200381223164285
1978-06-30,0.005939795412697508
1978-08-31,0.007153897471540757
1978-11-30,-0.010931435170069163
1979-02-28,-0.0009602636343653895
1979-04-30,0.007341616975139957
1979-08-31,0.02761617761664361
1979-11-30,0.0310412459424481
1980-01-31,0.031189384236419718
1980-02-29,-0.03828120552836099
1980-04-30,0.04246956047689907
1980-05-30,0.043894704443564456
1980-06-30,0.029950164568343148
1981-04-30,0.025520299459293284
1981-08-31,-0.021142169107452813
1981-09-30,-0.026021577836180698
1981-10-30,0.016585609396776807
1981-11-30,0.046199095511081555
1982-04-30,0.03146594921132508
1982-07-30,-0.008965442147324601
1982-09-30,0.057761189027875144
1983-01-31,0.01749269789521886
1983-02-28,0.04530558631191069
1983-06-30,0.00011701306640435338
1983-09-30,0.04518041818098762
1983-11-30,0.0021025368609412162
1983-12-30,-0.018989247041311823
1984-02-29,-0.04706715301010162
1984-04-30,-0.003835229010311022
1984-08-31,0.03534914549672698
1984-11-30,0.008700714981502607
1985-01-31,0.0349943579480287
1985-02-28,0.03372459725573697
1985-09-30,-0.02191454125755666
1986-01-31,0.016811038031868154
1986-02-28,0.051816907676601666
1986-04-30,0.0015313905935547927
1986-05-30,0.05168946758562839
1986-06-30,0.052605194807536955
1987-04-30,-0.056310641090276135
1987-08-31,0.02191318735316739
1987-09-30,-0.0022314231260454308
1987-10-30,-0.19282387850548374
1987-11-30,-0.02496050834110941
1988-02-29,0.013286708346249197
1988-06-30,0.019829166772935447
1988-09-30,0.019851481874008023
1988-11-30,-0.005828659449240929
1988-12-30,-0.0007190358163339169
1989-02-28,0.0013356857469884204
1989-06-30,0.01624252155026356
1989-08-31,-0.019563830078799305
1989-11-30,0.0012313813598691349
1990-02-28,-0.004845924563295752
1990-04-30,-0.021604115809946874
1990-08-31,-0.07783885515198397
1990-11-30,-0.03605595228883303
1991-01-31,0.003312126922716624
1991-02-28,0.09053784601631441
1991-03-28,0.039050568810549205
1991-09-30,0.01954084408557666
1992-01-31,0.04895786146455068
1992-04-30,-0.007079977543509908
1992-08-31,-0.004007033021955871
1992-09-30,-0.006834226261449785
1992-10-30,-0.0018379930080729481
1992-11-30,0.024649281141046878
1993-04-30,0.013680794777038707
1993-07-30,0.04348772955161541
1993-09-30,-0.007639070868399958
1994-01-31,0.0629352718877711
1994-02-28,-0.010038532496482754
1994-06-30,-0.018028344869254795
1994-09-30,0.0035866682320435167
1994-11-30,-0.0788180216222475
1994-12-30,-0.019322497849673166
1995-02-28,0.032342151503106945
1995-06-30,-0.0019528859252237775
1995-08-31,0.027582852034895786
1995-11-30,0.0045447892976452665
1996-02-29,0.011783301294366194
1996-03-29,0.03751231741705658
1996-09-30,0.016406685869050783
1997-01-31,0.05598971049898677
1997-02-28,0.018078747174547577
1997-04-30,-0.023970700771493745
1997-05-30,0.11517871195865477
1997-06-30,0.08643310945668763
1998-04-30,0.009493008990561061
1998-08-31,-0.15505108070613066
1998-09-30,0.003916427539009469
1998-10-30,-0.004279803411002127
1998-11-30,0.05768539695449533
1999-04-30,0.10750369700096098
1999-07-30,0.01213056067630051
1999-09-30,-0.09216200855493124
2000-01-31,0.03697063855014786
2000-02-29,-0.053408242968164515
2000-06-30,-0.014119424845428746
2000-08-31,0.05228126075667606
2000-11-30,0.038770210491188
2001-02-28,0.09469799637329795
2001-04-30,0.04796526394772316
2001-08-31,0.04180329630556134
2001-11-30,0.052783694072944407
2002-01-31,0.05415287883673024
2002-02-28,0.07610827454139193
2002-03-28,0.11369882353134526
2002-09-30,-0.1151990486237745
2003-01-31,-0.04231407534222389
2003-02-28,-0.0741031592861136
2003-04-30,0.11371511305218517
2003-05-30,0.10818767721641193
2003-06-30,0.05060808115142945
2004-04-30,-0.020269027104298138
2004-07-30,-0.028453585677621393
2004-09-30,0.060090616955309255
2005-01-31,0.0045815708638350106
2005-02-28,0.014101204200471406
2005-06-30,0.06481873754715804
2005-09-30,-0.012572651567256973
2005-11-30,0.010872122031100669
2005-12-30,0.003873217783671664
2006-02-28,-0.008410930009233411
2006-06-30,0.008669467711714306
